Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,RecYds,RecTD,Fum,Lost,FantasyPoints
1,Carlos Hyde,RB,1,SF,MIN,26,168,7,2,2,2,14,0,0,0,35.20
2,Matt Forte,RB,1,CHI,GB,24,141,6,1,8,5,25,0,0,0,30.60
3,Chris Ivory,RB,1,NYJ,CLE,20,91,5,2,1,1,9,0,0,0,23.00
4,Bishop Sankey,RB,1,TEN,TB,12,74,6,1,4,2,12,1,1,0,22.60
5,Danny Woodhead,RB,1,SD,DET,12,42,4,2,7,4,20,0,0,0,22.20
6,Jamaal Charles,RB,1,KC,HOU,16,57,4,0,8,5,46,1,0,0,21.30
7,Mark Ingram,RB,1,NO,ARI,9,24,3,0,9,8,98,0,0,0,20.20
8,Darren Sproles,RB,1,PHI,ATL,5,50,10,0,9,7,76,0,0,0,19.60
9,Ameer Abdullah,RB,1,DET,SD,7,50,7,1,4,4,44,0,1,0,19.40
10,Jeremy Hill,RB,1,CIN,OAK,19,63,3,2,0,0,0,0,0,0,18.30
11,DeMarco Murray,RB,1,PHI,ATL,8,9,1,1,5,4,11,1,0,0,18.00
12,Eddie Lacy,RB,1,GB,CHI,19,85,5,1,3,2,14,0,0,0,17.90
13,Marcel Reece,FB,1,OAK,CIN,0,0,0,0,4,3,26,2,0,0,17.60
14,Marshawn Lynch,RB,1,SEA,LA,18,73,4,0,7,5,31,0,0,0,17.40
15,DeAngelo Williams,RB,1,PIT,NE,21,127,6,0,1,1,5,0,0,0,17.20
16,Benjamin Cunningham,RB,1,LA,SEA,16,45,3,0,7,4,77,0,0,0,16.20
17,Dion Lewis,RB,1,NE,PIT,15,69,5,0,5,4,51,0,1,0,16.00
18,Alfred Morris,RB,1,WAS,MIA,25,121,5,0,0,0,0,0,0,0,15.10
19,Latavius Murray,RB,1,OAK,CIN,11,44,4,0,7,7,36,0,0,0,15.00
20,Lance Dunbar,RB,1,DAL,NYG,0,0,0,0,8,8,70,0,0,0,15.00
21,Giovani Bernard,RB,1,CIN,OAK,8,63,8,0,6,6,25,0,0,0,14.80
22,Joseph Randle,RB,1,DAL,NYG,16,65,4,0,3,3,42,0,1,0,13.70
